AREA,PERIMETER,QCST_TAG,FCODE,GEOMETRY,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
,279.921,ISLAND,GE14850000,,673,5593.0074,279.9218,,
,420.322,ISLAND,GE14850000,,671,9746.7515,420.3233,,
,275.737,ISLAND,GE14850000,,788,5247.2538,275.7378,,
,412.167,ISLAND,GE14850000,,707,9674.3761,412.1664,,
,496.503,ISLAND,GE14850000,,708,14215.4289,496.5035,,
,406.873,ISLAND,GE14850000,,772,11634.8195,406.8732,,
,1413.707,ISLAND,GE14850000,,786,90490.5496,1413.7076,,
,485.106,ISLAND,GE14850000,,776,16871.384,485.1069,,
,1232.872,ISLAND,GE14850000,,893,80486.6024,1232.872,,
,638.9,ISLAND,GE14850000,,758,22231.8781,638.8997,,
,647.423,ISLAND,GE14850000,,941,24244.3819,647.4234,,
,427.668,ISLAND,GE14850000,,796,12217.3021,427.6685,,
,369.611,ISLAND,GE14850000,,932,9206.2519,369.611,,
,927.13,ISLAND,GE14850000,,797,47095.949,927.1294,,
,390.711,ISLAND,GE14850000,,929,8815.4123,390.7112,,
,389.101,ISLAND,GE14850000,,940,11226.7341,389.1001,,
,277.48,ISLAND,GE14850000,,920,5328.8465,277.4808,,
,355.931,ISLAND,GE14850000,,803,8610.2059,355.9302,,
,877.842,ISLAND,GE14850000,,810,49306.0135,877.8419,,
,966.895,ISLAND,GE14850000,,917,41024.3561,966.8946,,
,329.976,ISLAND,GE14850000,,800,7687.0246,329.9767,,
,239.008,ISLAND,GE14850000,,1004,4084.8641,239.0084,,
,294.172,ISLAND,GE14850000,,1002,6180.8637,294.1714,,
,532.384,ISLAND,GE14850000,,1000,17978.14,532.3848,,
,1359.531,ISLAND,GE14850000,,994,83651.1358,1359.5316,,
,649.457,ISLAND,GE14850000,,998,28094.6932,649.4565,,
,427.292,ISLAND,GE14850000,,997,10338.2208,427.2917,,
,593.06,ISLAND,GE14850000,,995,15883.9238,593.0607,,
,388.308,ISLAND,GE14850000,,988,11219.3995,388.307,,
,841.817,ISLAND,GE14850000,,983,47315.4518,841.8172,,
,828.414,ISLAND,GE14850000,,984,30340.6962,828.4144,,
,473.382,ISLAND,GE14850000,,986,16378.7444,473.3825,,
,1202.457,ISLAND,GE14850000,,981,54334.1209,1202.4572,,
,343.526,ISLAND,GE14850000,,982,8137.8989,343.5254,,
,354.128,ISLAND,GE14850000,,980,9272.5797,354.1274,,
,376.061,ISLAND,GE14850000,,978,10367.0296,376.0608,,
,866.495,ISLAND,GE14850000,,972,26279.0302,866.495,,
,551.459,ISLAND,GE14850000,,973,19337.1428,551.4588,,
,1161.796,ISLAND,GE14850000,,964,61898.8199,1161.7968,,
,430.387,ISLAND,GE14850000,,968,13524.6032,430.387,,
,859.127,ISLAND,GE14850000,,965,47698.3313,859.1267,,
,2625.774,ISLAND,GE14850000,,950,268945.3932,2625.7727,,
